model,proportion,puma-nta,puma-tract,puma-block,nta-tract,nta-block,tract-block
simple-ratio,0.01,60.53115082,14.31493568,1.938042402,12.36090279,1.859083414,1.573488712
simple-ratio,0.05,56.81054688,13.76511383,1.884413481,11.97006512,1.81306541,1.539251208
simple-ratio,0.1,56.89357376,13.71398544,1.877259135,11.91390133,1.806613088,1.536640525
simple-ratio,0.5,56.52788544,13.68431187,1.875064135,11.88426971,1.804673433,1.53479135
simple-ratio,1,56.42547989,13.67109108,1.874033809,11.87356758,1.803625345,1.534195423
NN,0.01,43.967674,9.942509,1.9406984,8.886371,1.784291,1.6918497
NN,0.05,33.06481,8.787198,1.6742756,7.6778307,1.5556114,1.4507059
NN,0.1,29.440243,8.660269,1.6226379,7.348396,1.5053165,1.4072229
NN,0.5,27.625017,7.9368067,1.5677465,6.824197,1.4583216,1.3473752
NN,1,27.147005,7.9119086,1.5711765,6.7226896,1.437877,1.3105179
GAN,0.01,92.24395,10.087567,2.3985665,9.359512,2.059682,1.6041533
GAN,0.05,54.834194,8.73322,2.226909,7.651943,1.7724419,1.5045105
GAN,0.1,31.667763,8.072927,2.1753266,7.1946445,1.7676804,1.4485656
GAN,0.5,27.646685,7.4178743,2.028081,6.456272,1.6960981,1.3614308
GAN,1,26.281189,7.2762733,2.0100894,6.3732467,1.6639272,1.3295096
